vm,vc,ts,sp,id,hot,rad,,,
3,14.30501884,487.3,10,25,28.70557911,27.94663373,,,
3,14.30999472,487.4,10,25,28.70434814,27.94529992,,,
3,14.31492179,487.5,10,25,28.70311729,27.94396732,,,
3,14.3198005,487.6,10,25,28.70188659,27.94263592,,,
3,14.3246313,487.7,10,25,28.70065603,27.94130574,,,
3,14.32941463,487.8,10,25,28.69942562,27.93997676,,,
3,14.33415095,487.9,10,25,28.69819538,27.93864899,,,
3,14.33884068,488,10,25,28.69696531,27.93732241,,,
3,14.34348426,488.1,10,25,28.69573542,27.93599704,,,
3,14.34808211,488.2,10,25,28.69450571,27.93467286,,,
3,14.35263467,488.3,10,25,28.69327619,27.93334988,,,
3,14.35714235,488.4,10,25,28.69204687,27.93202808,,,
3,14.36160557,488.5,10,25,28.69081775,27.93070748,,,
3,14.36602475,488.6,10,25,28.68958885,27.92938806,,,
3,14.37040029,488.7,10,25,28.68836016,27.92806983,,,
3,14.3747326,488.8,10,25,28.6871317,27.92675278,,,
3,14.37902209,488.9,10,25,28.68590347,27.92543691,,,
3,14.38326914,489,10,25,28.68467549,27.92412221,,,
3,14.38747416,489.1,10,25,28.68344774,27.9228087,,,
3,14.39163753,489.2,10,25,28.68222025,27.92149635,,,
3,14.39575965,489.3,10,25,28.68099302,27.92018518,,,
3,14.3998409,489.4,10,25,28.67976605,27.91887518,,,
3,14.40388165,489.5,10,25,28.67853936,27.91756634,,,
3,14.40788229,489.6,10,25,28.67731294,27.91625867,,,
3,14.41184319,489.7,10,25,28.67608681,27.91495216,,,
3,14.41576471,489.8,10,25,28.67486096,27.91364681,,,
3,14.41964723,489.9,10,25,28.67363541,27.91234262,,,
3,14.4234911,490,10,25,28.67241016,27.91103959,,,
3,14.42729669,490.1,10,25,28.67118522,27.90973771,,,
3,14.43106435,490.2,10,25,28.6699606,27.90843698,,,
3,14.43479444,490.3,10,25,28.66873629,27.90713741,,,
3,14.43848731,490.4,10,25,28.66751231,27.90583898,,,
3,14.44214329,490.5,10,25,28.66628865,27.90454169,,,
3,14.44576275,490.6,10,25,28.66506534,27.90324555,,,
3,14.449346,490.7,10,25,28.66384236,27.90195056,,,
3,14.4528934,490.8,10,25,28.66261974,27.9006567,,,
3,14.45640528,490.9,10,25,28.66139746,27.89936398,,,
